,0.psd_delta,0.psd_beta,0.psd_gamma,0.delta_rel_power,0.theta_rel_power,1.psd_alpha,1.psd_beta,1.theta_rel_power,2.psd_delta,2.psd_theta,2.psd_beta,2.psd_gamma,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,3.psd_theta,3.psd_alpha,4.psd_alpha,4.psd_beta,5.psd_delta,5.psd_alpha,5.psd_beta
0,14850.830822513804,6950.560914689403,3047.5820952902554,0.0592367329998534,0.1994437520729556,5518.074526606603,5824.969234624814,0.199646404811077,8039.972356164159,10515.873942349284,5392.388155492399,2457.4962289603272,0.0783856080330185,0.2003485742064816,0.0837504344617399,13819.209504104245,4167.674765395844,6959.259470509641,5473.184804260163,9959.54482787127,7077.922377631268,4337.362145278733
1,14838.280527381085,8087.625726267519,2855.607519366661,0.1508472506205956,0.1344705712905337,3995.3888849344416,6269.167711156734,0.1261852939181289,2524.927423415586,9608.824748582896,5795.67290783812,2257.108195234552,0.065674595717445,0.1341258722284701,0.0532517363110474,13511.512182903623,4690.117540228087,6671.478507953795,7251.832428702631,11531.268301115428,5167.001768098216,5545.503701519794
2,7143.715838802998,4200.151132062475,2838.1551170515486,0.0826850448391454,0.3198164900544822,5254.756739834699,3878.494666058128,0.3017735289586855,11914.922521597156,16710.419354464608,4009.896543434184,1863.4916335527373,0.1495214293204629,0.2889815222478312,0.1184308525278554,12812.601963786776,4517.164652531598,6049.473058650961,4200.371423779381,6653.416894141859,4231.435899949769,3521.503844682362
3,7143.570136429933,4200.428316440172,2764.924612939659,0.0326358767282175,0.173594367236294,5799.2936815709545,3844.33649973418,0.0578904216621719,7769.417843591187,4775.209063274603,3434.928351228357,2942.52900846798,0.1045212706784834,0.0483190687075914,0.1024015924300163,6995.441331069329,5518.713670427969,7633.505249553234,3656.999795632337,2855.12092525296,6729.678711294354,3406.9748673243485
4,19573.432251412058,6509.398323576624,2423.619039035225,0.198891058485463,0.1622077418468663,6277.23035020036,4717.883215501748,0.110837534649826,18421.95370463151,14419.819059729723,4118.334850987535,2442.113284503475,0.2345650873167509,0.1038564983898902,0.0952889882109151,12940.749857014682,7851.45429487871,8684.931093384248,5528.748438817599,10903.669661824297,6108.959047860085,4617.153173602273
5,20156.252572869354,5922.926306147249,1761.4918206543498,0.1900824268336839,0.2586220560741313,6534.496385578455,6090.676065481242,0.069838097801104,13818.969448335598,4181.8108293801,6218.19188889217,1504.6887069099855,0.2292493731744659,0.043636714889652,0.1073512562728947,6833.320915209915,7213.16742919766,7870.485904108181,5923.857900625187,15626.733955251557,5079.68725290419,4519.551693777507
6,12439.335545597343,4788.543719419212,1959.0590336463115,0.1735419200854644,0.320029367235074,5119.959723804988,5087.880292387975,0.2540388798760227,11913.102911936232,8665.47430448779,4787.932243216616,2421.9046328212603,0.1092109430965084,0.2415458396027739,0.0911596046190743,15761.784899174794,4907.632547013424,7302.481439446492,4878.533474356279,7845.783206680325,5477.648154893235,3933.5712454572736
7,17188.542858846282,4596.463301734319,1772.7984850505609,0.2380180229941079,0.0919888060618862,7365.107979844778,4423.053010406739,0.0422813156707393,13375.10173788671,3985.656757004968,4361.827699080587,2371.1869892525065,0.2828969892855311,0.0498803474934167,0.0529245675622264,6661.725564037324,7129.305823951782,6774.897472090714,4421.464849792649,11966.35274565696,5406.242483481498,4007.833045857216
8,14127.226788939195,5117.587695416719,3102.715517782244,0.1788842012973244,0.1614139215041855,6309.807146872053,5223.137563398351,0.1306760786556792,12177.274495311583,11570.41813371982,5678.1292587852,3063.1470562872923,0.1639578082218383,0.1361507631217711,0.0592763289115298,20691.24710811544,7223.914282919676,8473.784244372504,4281.330905622655,9890.583243453912,7025.399527699512,3926.1159608119656
9,15595.13430609521,5095.891819760973,1148.940722231977,0.2325481581707758,0.1925504134334965,6647.395336064709,5558.642117669791,0.1340682186602654,9866.635709206288,12023.57363449548,5453.843124487731,1802.327479086952,0.1533424519771344,0.1779120417140227,0.1418421145551715,12320.680620185303,3452.6043179644416,3880.438286718166,4805.943341993308,11538.79967995664,3312.454373942644,3888.0007260015454
