,0.psd_delta,0.psd_theta,0.psd_alpha,0.psd_beta,0.psd_gamma,0.spectral_entropy_value,0.delta_rel_power,0.beta_rel_power,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_beta,1.spectral_entropy_value,1.delta_rel_power,1.theta_rel_power,1.alpha_rel_power,1.beta_rel_power,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.delta_rel_power
0,28147.941301736315,20812.12295016303,28903.25329352261,11045.919339835076,10097.405408816216,4.682996946161589,0.1260070900065117,0.2880600194473135,31541.47010472779,29954.967205815414,26807.94301785019,12347.953811439247,4.704593332441931,0.1306723587774008,0.2077073275072154,0.1671220088423563,0.2708136802575654,34938.51379188152,33673.811525978475,21891.815170387403,13745.843523038118,10897.486120647349,4.922720001274635,0.1379687332743971
1,22618.0365664797,42645.05242007784,24222.96550487648,15327.997675028704,7771.031388044059,4.881995648506647,0.1039158798587231,0.406341120554863,39936.52244801305,51649.36015845893,30409.371049067948,20171.70747864688,4.923878451570483,0.0940255267031261,0.1449905930971737,0.1279207096885035,0.4050215411354284,36819.22577052368,48968.26283523142,27692.93482912383,18368.85843009133,12772.993128794922,4.849991355111894,0.082821681751684
2,43601.788099048754,32732.02472369661,25489.561827124908,15637.863125198368,6656.028792203024,4.9802133680673055,0.1529316973411368,0.3520116179676856,64146.78516613736,33271.56775230159,28243.11746531606,18628.78642625728,5.047480309881413,0.1524302221442036,0.1307960369722148,0.108977821949407,0.4188993938942091,66980.08082500316,32941.886307534085,24145.639485215648,23829.755855856725,7233.06165027097,5.046027701142357,0.1427307652148071
3,42496.74785726381,38829.08977070125,30560.134073608748,12146.879632917497,8309.699314009107,4.763781604684795,0.1441798682463632,0.2299019478884101,33907.78029734551,50108.464685803614,23338.542823995827,15681.375820921628,4.879625512960106,0.0658651496651677,0.1856889976515929,0.1280721543016957,0.2533080785565492,26387.03720898906,56582.28739218154,16128.611929187804,17794.462861838965,10245.559966133276,4.99323829185795,0.0318721631190592
4,26204.813554797765,12877.184705522355,9059.280872433555,11891.181481969708,14946.075981655493,4.568809122646343,0.0961438450668814,0.2628393929960849,37629.361927760845,17296.463743196997,18194.617280008464,21883.692721283,4.584757721942159,0.0982246659983164,0.0441449789045967,0.0368460278685144,0.3240673858586127,46289.79436441178,25623.4079898626,20632.008823644268,22215.89581698428,19825.54136415636,4.079598944369925,0.0813170369336183
5,28778.39693304527,27694.456918789365,8209.099850881754,13303.607568210367,4825.831231116031,4.75918567970235,0.0900223558935216,0.5153949233102981,42670.20353619535,29504.73551267136,10731.275418176696,13220.072539702516,4.817844213787908,0.1341410915574296,0.1658411631668359,0.0511245840994151,0.4202513559351133,42168.94657719172,23754.008588627377,12416.196911758096,18790.246556941536,8561.294615522587,4.828109150365173,0.1387988469059946
6,27455.32540242424,26459.268652896968,7057.028135793673,20326.32326552381,13029.476520751705,4.660921936549019,0.0815737221568671,0.4251989816132695,38619.0285624566,22591.807689017154,8365.526404465401,29105.39258445415,4.653630298064384,0.096727439327069,0.0551689787323397,0.0581085696410281,0.5688361953169636,52432.53044851739,25010.7475293897,8154.062064465782,30332.157548591727,13658.318695225613,4.587926568326664,0.1334580691213229
7,27747.801770102866,24856.976691322387,17979.58043670958,15764.608657871911,9265.19037537458,4.724000998890337,0.1064018466697579,0.3200120335436807,41492.55685975854,19855.19808880264,26076.54508018708,18022.889559269428,4.59410863107093,0.0561979831542278,0.0585697124310572,0.1784200330348841,0.2944577928725874,47680.75959541187,18363.555441094755,31741.42111569151,23184.822846391315,10610.309100087316,4.751671356144386,0.1071398603760863
8,25278.290828714475,43280.59517869145,25147.16877020416,17272.589240551126,8519.351331820217,4.900362017354053,0.0858986519830356,0.355517772244276,46285.30792708445,45389.66964609815,20900.32622445773,17429.586677819538,4.921246799950844,0.2172439306742263,0.1077412275775156,0.1037199121393644,0.2957914305499656,57232.695932762304,51811.20203155071,22649.978910548667,16941.6173522656,8714.177806797456,4.799026379978813,0.2766641101218843
9,36534.586496429896,36526.28774985528,10620.159470221592,19364.501312590863,8468.929031158616,4.814519450515899,0.0689544632243319,0.5012109470709964,63084.16010005778,41565.7958228322,20531.69809677804,19070.137703799308,4.982643581936595,0.1090446564483963,0.0822056815620385,0.1047386913636399,0.3934358853491858,62394.01287176533,36314.86005460335,19152.74897461857,21050.622953072336,12119.03455783848,4.859904618824014,0.1023836227462033
10,22884.53156351595,35780.43358826747,12915.459694382793,16754.6571196308,7363.2791653450595,4.779316514446398,0.0449269702059873,0.471342446713472,34189.5943208883,52973.62587012876,11263.91438292696,24618.89764020904,4.83013984008939,0.0574024019888977,0.2291515158862721,0.0587385724469833,0.5127186340786645,40231.85144013199,55237.201985030224,10814.3010250635,25968.588796650503,9778.241328687727,4.8519819687126295,0.0594467039924858
11,46687.872087224096,47652.55588779386,8154.517142426504,14516.212866522745,6505.511607034748,4.781651377834563,0.1229940005676559,0.3274002820540084,67942.35658150382,23944.54573714657,9958.92554337748,17503.167127986184,4.807868807347233,0.2254867148538311,0.1094592273677223,0.0408516762853482,0.349091285505979,68288.54669751844,25259.13728953868,12204.127287068,22186.99786901342,8141.528844746304,4.813149609471911,0.2187933912573754
