,0.psd_delta,0.psd_theta,0.psd_alpha,0.psd_beta,0.psd_gamma,0.spectral_entropy_value,0.delta_rel_power,0.beta_rel_power,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_beta,1.spectral_entropy_value,1.delta_rel_power,1.theta_rel_power,1.alpha_rel_power,1.beta_rel_power,2.psd_delta,2.psd_beta,2.spectral_entropy_value,2.delta_rel_power,3.psd_delta,3.psd_theta,3.psd_alpha,3.psd_gamma
0,28147.941301736315,20812.12295016303,28903.25329352261,11045.919339835076,10097.405408816216,4.682996946161589,0.1260070900065117,0.2880600194473135,31541.47010472779,29954.967205815414,26807.94301785019,12347.953811439247,4.704593332441931,0.1306723587774008,0.2077073275072154,0.1671220088423563,0.2708136802575654,34938.51379188152,13745.843523038118,4.922720001274635,0.1379687332743971,40310.06318744882,29293.163879422133,23058.9336699759,12905.214379015297
1,22618.0365664797,42645.05242007784,24222.96550487648,15327.997675028704,7771.031388044059,4.881995648506647,0.1039158798587231,0.406341120554863,39936.52244801305,51649.36015845893,30409.371049067948,20171.70747864688,4.923878451570483,0.0940255267031261,0.1449905930971737,0.1279207096885035,0.4050215411354284,36819.22577052368,18368.85843009133,4.849991355111894,0.082821681751684,16153.754973449308,25837.08336714904,24192.40712853876,13629.804908022825
2,43601.788099048754,32732.02472369661,25489.561827124908,15637.863125198368,6656.028792203024,4.9802133680673055,0.1529316973411368,0.3520116179676856,64146.78516613736,33271.56775230159,28243.11746531606,18628.78642625728,5.047480309881413,0.1524302221442036,0.1307960369722148,0.108977821949407,0.4188993938942091,66980.08082500316,23829.755855856725,5.046027701142357,0.1427307652148071,36703.748589831564,33080.101367533825,20292.1447442768,7833.194308165055
3,42496.74785726381,38829.08977070125,30560.134073608748,12146.879632917497,8309.699314009107,4.763781604684795,0.1441798682463632,0.2299019478884101,33907.78029734551,50108.464685803614,23338.542823995827,15681.375820921628,4.879625512960106,0.0658651496651677,0.1856889976515929,0.1280721543016957,0.2533080785565492,26387.03720898906,17794.462861838965,4.99323829185795,0.0318721631190592,27658.844197469283,46686.88698933508,11399.514028629646,10801.569648600624
4,26204.813554797765,12877.184705522355,9059.280872433555,11891.181481969708,14946.075981655493,4.568809122646343,0.0961438450668814,0.2628393929960849,37629.361927760845,17296.463743196997,18194.617280008464,21883.692721283,4.584757721942159,0.0982246659983164,0.0441449789045967,0.0368460278685144,0.3240673858586127,46289.79436441178,22215.89581698428,4.079598944369925,0.0813170369336183,31533.05950064068,16769.571622709824,10446.491096024632,17267.127666843437
5,28778.39693304527,27694.456918789365,8209.099850881754,13303.607568210367,4825.831231116031,4.75918567970235,0.0900223558935216,0.5153949233102981,42670.20353619535,29504.73551267136,10731.275418176696,13220.072539702516,4.817844213787908,0.1341410915574296,0.1658411631668359,0.0511245840994151,0.4202513559351133,42168.94657719172,18790.246556941536,4.828109150365173,0.1387988469059946,39117.59224720696,9710.015762530986,12672.161295387952,8266.351986393272
6,27455.32540242424,26459.268652896968,7057.028135793673,20326.32326552381,13029.476520751705,4.660921936549019,0.0815737221568671,0.4251989816132695,38619.0285624566,22591.807689017154,8365.526404465401,29105.39258445415,4.653630298064384,0.096727439327069,0.0551689787323397,0.0581085696410281,0.5688361953169636,52432.53044851739,30332.157548591727,4.587926568326664,0.1334580691213229,29814.3860863222,26938.379193316046,8356.213464771305,12189.44061294115
7,27747.801770102866,24856.976691322387,17979.58043670958,15764.608657871911,9265.19037537458,4.724000998890337,0.1064018466697579,0.3200120335436807,41492.55685975854,19855.19808880264,26076.54508018708,18022.889559269428,4.59410863107093,0.0561979831542278,0.0585697124310572,0.1784200330348841,0.2944577928725874,47680.75959541187,23184.822846391315,4.751671356144386,0.1071398603760863,21770.506136711723,15580.780726138624,23544.570628084974,9568.56678453499
8,25278.290828714475,43280.59517869145,25147.16877020416,17272.589240551126,8519.351331820217,4.900362017354053,0.0858986519830356,0.355517772244276,46285.30792708445,45389.66964609815,20900.32622445773,17429.586677819538,4.921246799950844,0.2172439306742263,0.1077412275775156,0.1037199121393644,0.2957914305499656,57232.695932762304,16941.6173522656,4.799026379978813,0.2766641101218843,26885.41244791577,34829.40238234999,18451.466855564777,8744.758532208218
9,36534.586496429896,36526.28774985528,10620.159470221592,19364.501312590863,8468.929031158616,4.814519450515899,0.0689544632243319,0.5012109470709964,63084.16010005778,41565.7958228322,20531.69809677804,19070.137703799308,4.982643581936595,0.1090446564483963,0.0822056815620385,0.1047386913636399,0.3934358853491858,62394.01287176533,21050.622953072336,4.859904618824014,0.1023836227462033,33866.95700538668,26722.140817806103,15368.95231857151,12568.43348551135
