0.psd_delta,1.psd_delta,1.psd_beta,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,2.beta_rel_power,3.psd_delta,3.psd_alpha,3.psd_gamma,3.delta_rel_power,3.beta_rel_power,4.psd_beta,5.psd_delta,5.psd_theta,5.psd_alpha,Stress_level
28147.941301736315,31541.47010472779,12347.953811439247,34938.51379188152,33673.811525978475,21891.815170387403,13745.843523038118,10897.486120647349,4.922720001274635,0.1379687332743971,0.1893802348675127,0.1418906457784854,0.2599688895282604,40310.06318744882,23058.9336699759,12905.214379015297,0.1335661381398425,0.2861592010312777,8918.320027161346,16370.231318547692,15538.407764289432,13767.001272389294,1
22618.0365664797,39936.52244801305,20171.70747864688,36819.22577052368,48968.26283523142,27692.93482912383,18368.85843009133,12772.993128794922,4.849991355111894,0.082821681751684,0.1441102037700283,0.1084814610757084,0.3521728509795972,16153.754973449308,24192.40712853876,13629.804908022825,0.07185425366208,0.3571240761076254,11106.539607080013,11010.03263146268,15484.868142339188,6198.5271694014455,1
43601.788099048754,64146.78516613736,18628.78642625728,66980.08082500316,32941.886307534085,24145.639485215648,23829.755855856725,7233.06165027097,5.046027701142357,0.1427307652148071,0.1221361244979517,0.0742280764460983,0.484527711561584,36703.748589831564,20292.1447442768,7833.194308165055,0.140542716430776,0.4401603173468082,13541.68123062693,14589.011407639886,15736.213637807004,13617.609789392978,1
42496.74785726381,33907.78029734551,15681.375820921628,26387.03720898906,56582.28739218154,16128.611929187804,17794.462861838965,10245.559966133276,4.99323829185795,0.0318721631190592,0.2200195114015576,0.091749097802317,0.3091082712895373,27658.844197469283,11399.514028629646,10801.569648600624,0.0540722993428358,0.3779614722465204,10998.328939799974,17022.80349589861,18922.57425653589,8836.577199819661,1
26204.813554797765,37629.361927760845,21883.692721283,46289.79436441178,25623.4079898626,20632.008823644268,22215.89581698428,19825.54136415636,4.079598944369925,0.0813170369336183,0.0386311351212716,0.0437528983009922,0.1689045468593238,31533.05950064068,10446.491096024632,17267.127666843437,0.0760852804225252,0.175952183722303,7492.871516617142,11827.793848833064,8578.423712307373,3019.109910288769,1
28778.39693304527,42670.20353619535,13220.072539702516,42168.94657719172,23754.008588627377,12416.196911758096,18790.246556941536,8561.294615522587,4.828109150365173,0.1387988469059946,0.1274203110607517,0.080205667638032,0.5009112039315344,39117.59224720696,12672.161295387952,8266.351986393272,0.1674884481197119,0.5301981937914368,12837.110398768047,15457.330009168523,8560.936626646231,8091.008185972835,1
27455.32540242424,38619.0285624566,29105.39258445415,52432.53044851739,25010.7475293897,8154.062064465782,30332.157548591727,13658.318695225613,4.587926568326664,0.1334580691213229,0.0383000759815474,0.0579489260133109,0.597760355548614,29814.3860863222,8356.213464771305,12189.44061294115,0.1148151553508341,0.5411754274213418,17525.826951629504,14209.683725977373,19243.745481342325,9378.216566958889,1
27747.801770102866,41492.55685975854,18022.889559269428,47680.75959541187,18363.555441094755,31741.42111569151,23184.822846391315,10610.309100087316,4.751671356144386,0.1071398603760863,0.0743624171504663,0.1693142121922274,0.3324609762830565,21770.506136711723,23544.570628084974,9568.56678453499,0.0286441988662529,0.3819846663732844,14049.74182845765,5773.267249667442,15402.991566218248,8657.479404898537,1
25278.290828714475,46285.30792708445,17429.586677819538,57232.695932762304,51811.20203155071,22649.978910548667,16941.6173522656,8714.177806797456,4.799026379978813,0.2766641101218843,0.1084508659337444,0.1157070981332214,0.3232302075258108,26885.41244791577,18451.466855564777,8744.758532208218,0.1428660631394718,0.4155707995503241,11630.679674576051,9004.562504148988,23138.870712069147,10161.997370825407,1
36534.586496429896,63084.16010005778,19070.137703799308,62394.01287176533,36314.86005460335,19152.74897461857,21050.622953072336,12119.03455783848,4.859904618824014,0.1023836227462033,0.0655203180363746,0.107474924783543,0.386800727480217,33866.95700538668,15368.95231857151,12568.43348551135,0.0683605204165207,0.4582423231805357,17639.568466532615,17628.410300895397,18462.36853846956,6428.910769194466,1
